,City,year,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
203,TUCSON,2015,529675.0,0.006554962948978147,5.85264549015906e-05,0.0007967149667248784,0.0019993392174446597,0.0037003823099070183,0.06642752631330533,0.006917449379336385,0.05586822107896351,0.003641855855005428,117.0
239,TUCSON,2016,533663.0,0.007954458150555687,5.621525194739002e-05,0.000878831772110864,0.002314194538500889,0.004705216587996545,0.0585856617378383,0.007753957085276663,0.04719270400983392,0.003639000642727714,119.0
273,TUCSON,2018,537392.0,0.007365200821746509,8.745943370947093e-05,0.0009378628636079435,0.0022776669544764343,0.00406221156995266,0.04954111709887754,0.0060607526721648255,0.03870172983594843,0.004778634590764284,158.0
71,YUMA,2011,94381.0,0.005191722910331528,4.238141151291044e-05,0.00034964664498151113,0.0006992932899630223,0.004100401563874085,0.03419120373804049,0.008709380065903095,0.02326739492058783,0.0022144287515495705,23.0
108,YUMA,2012,95568.0,0.005315586807299514,5.2318767788381046e-05,0.00028252134605725765,0.0006382889670182488,0.004342457726435627,0.03508496567888833,0.00999288464758078,0.022622635191695967,0.0024694458396115854,35.0
142,YUMA,2013,96014.0,0.006113691753285979,5.2075738954735766e-05,0.00047909679838356904,0.0006665694586206178,0.004915949757327056,0.03515112379444664,0.008384193971712459,0.024454767013143915,0.002312162809590268,25.0
168,YUMA,2014,92075.0,0.005647569915829487,3.25821341297855e-05,0.00038012489818083084,0.0007602497963616617,0.004474613087157209,0.03620961172956828,0.009285908226988868,0.02352430084170513,0.0033994026608742873,38.0
204,YUMA,2015,93923.0,0.0048230997732184875,5.3235096834641144e-05,0.0004897628908786985,0.0007878794331526889,0.003492222352352459,0.031142531648265068,0.0072612672082450515,0.021123686423985606,0.0027575780160344113,32.0
274,YUMA,2018,96121.0,0.0051081449423122935,9.363198468596872e-05,0.00038493149259787143,0.0005721954619698089,0.004057386003058645,0.021233653416006908,0.004234246418576585,0.014741835811113076,0.002257571186317246,18.0
36,BUCKEYE,2011,51596.0,0.0008333979378246375,0.0,1.938134739127064e-05,0.00021319482130397705,0.0006008217691293899,0.02599038685169393,0.007694394914334444,0.017404449957361037,0.0008915419799984495,5.0
73,BUCKEYE,2012,52213.0,0.0010342251929596077,5.7456955164422654e-05,1.9152318388140883e-05,0.00021067550226954972,0.0007469404171374944,0.026276980828529292,0.0071629670771646906,0.017696742190642177,0.0014172715607224254,1.0
109,BUCKEYE,2013,55710.0,0.0008795548375516066,1.7950098725542992e-05,1.7950098725542992e-05,0.00030515167833423083,0.0005385029617662897,0.02383773110752109,0.005995332974331359,0.016603841321127265,0.0012385568120624663,8.0
144,BUCKEYE,2014,58126.0,0.0004989161476791797,1.7204005092385508e-05,6.881602036954203e-05,0.00012042803564669856,0.0002924680865705536,0.019629769810411864,0.003354780993015174,0.015105116471114476,0.0011698723462822145,
170,BUCKEYE,2015,61726.0,0.0004536176003628941,3.240125716877815e-05,1.6200628584389076e-05,0.00011340440009072352,0.00029161131451900334,0.01786929332858115,0.003061918802449535,0.013851537439652659,0.0009558370864789554,12.0
206,BUCKEYE,2016,64563.0,0.0005421061598748509,3.097749484999148e-05,3.097749484999148e-05,0.00023233121137493612,0.00024781995879993184,0.015875966110620632,0.00178120595387451,0.012995059089571426,0.0010997010671746977,2.0
241,BUCKEYE,2018,71318.0,0.0017527132000336521,1.4021705600269217e-05,0.0004206511680080765,0.00022434728960430748,0.001093693036820999,0.018901259149162904,0.002397711657646036,0.015606158333099638,0.0008973891584172299,1.0
